State,ST,County,Republicans 2016,Democrats 2016,Green 2016,Libertarians 2016,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,Child.Poverty.living.in.families.below.the.poverty.line,White,Black,Hispanic,Asian,Amerindian,Other,Median Age,Poor.physical.health.days,Poor.mental.health.days,Low.birthweight,Teen.births,Children.in.single.parent.households,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality
Vermont,VT,"Windham County, Vermont",25.82383812,67.79821285,3.200794289,2.751642948,8.7,91.3,33.8,14.9,76.65,25638.54349,14.35,7.8,44070,52.9,11,13.7,94.6,0.8,1.7,0.95,0.2,1.75,44.1,3.3,3.7,0.05,22.8,0.315,0.16,0.235,0.073,180.7,103.7,0.083,0.05,181.7,,83.3,
Missouri,MO,"Gasconade County, Missouri",76.16872649,20.40569586,0.631380978,2.418054809,18.1,81.9,14.1,5.1,75,23337.6908,25.5,10.45,15274,18.6,11.6,15.05,97.25,0.15,0.95,0.25,0.45,0.95,44,6.7,3.9,0.08,41.3,0.293,0.264,0.307,0.108,125.3,54.3,0.188,0.073,227.33,,79.6,
Kentucky,KY,"Bourbon County, Kentucky",63.32006822,31.73393974,0.591245026,3.217737351,18.1,81.9,17.4,6.3,77.3,26053.94508,27.85,10.35,19826,55.2,17.85,24.05,86.45,6.3,5.7,0.3,0.3,0.9,40.1,4.3,,0.1,51.8,0.389,0.208,0.332,0.137,265,99.3,0.198,0.077,160.53,,88.2,
Alaska,AK,"Yakutat City and Borough, Alaska",,,,,9.5,90.5,17.9,4.6,85.55,34073.33746,19.2,0,540,81.8,3.85,4.95,41.05,0.15,2.15,2.9,39.15,14.65,38.6,,,,,0.336,,0.316,0.086,,,0.308,0.093,,,,
Louisiana,LA,"Red River Parish, Louisiana",54.07055631,43.82632293,0.248756219,1.062867481,25.5,74.5,12.5,4.7,73.3,21604.57238,43.45,15.95,9104,64.5,23.05,31.3,57.25,40.35,1.15,0.2,0.45,0.6,37.3,4.7,2.9,0.15,76.6,0.524,0.244,0.338,0.134,1113.6,104.1,0.209,0.072,730.25,,74,
Nebraska,NE,"Washington County, Nebraska",69.67120181,24.62207105,0.897581255,4.809145881,6.4,93.6,29.1,7.1,83.2,33041.9273,2.9,5.85,19979,43.8,4.55,2.65,95.9,0.45,1.95,0.55,0.15,1,40.2,2.5,2.4,0.06,12.8,0.146,0.173,0.307,0.091,113.3,,0.089,0.037,22.28,,44.7,
Maryland,MD,"Harford County, Maryland",59.7799137,35.26130216,1.186566203,3.772217929,9,91,30.5,11.9,77.6,40833.48286,10.25,5.75,242561,52.6,5.5,7.2,80.4,12,3.1,2.25,0.2,2.1,38.7,3.2,3.8,0.08,19.8,0.26,0.179,0.281,0.099,246.7,174.2,0.088,0.07,323.52,3.2,56.6,5.7
Texas,TX,"Jeff Davis County, Texas",59.06382979,35.91489362,1.446808511,3.574468085,16.1,83.9,34.3,11.3,70,24171.22191,45.85,6.05,2267,0,14.05,25.9,62.7,0.2,34.95,0.5,0.3,1.3,47.7,1.9,,,38.4,0.404,,0.261,0.125,,,0.305,0.055,199.57,,,
Montana,MT,"Powell County, Montana",72.6061915,19.76241901,1.439884809,5.831533477,11,89,18.7,5.1,72.85,17648.44349,37.9,12.95,7042,43.4,15.05,29.5,90.45,0.85,2.2,0.45,3.75,2.25,44.5,3.5,3.8,0.07,37.6,0.327,0.225,0.252,0.079,155.7,94.3,0.223,0.078,198.4,,59.3,
Montana,MT,"Sanders County, Montana",72.53569001,20.58123725,1.597552685,5.064581917,13.4,86.6,15.6,3.3,74.3,19190.30889,45.85,12.55,11181,37,21.9,34.7,90.55,0.2,2,0.3,4.65,2.25,48.8,4.1,2.6,0.07,31.3,0.269,0.219,0.266,0.104,104.9,,0.299,0.132,264.33,,107.3,
Georgia,GA,"Jackson County, Georgia",80.4006357,16.51698267,,3.082381639,21.1,78.9,17.7,7.6,75.55,29518.32445,24.85,15,59564,39.8,14.9,19.15,84.25,7.05,5.45,1.55,0.2,1.5,36,3.9,4.3,0.08,49.2,0.265,0.243,0.264,0.093,217.1,87.6,0.212,0.087,146.76,4.35,78.6,8.2
Georgia,GA,"Jones County, Georgia",66.30469499,31.61929096,,2.076014053,14.6,85.4,17.2,5.9,77.55,28395.92984,13.2,24.2,27962,61.5,13.85,15.55,73.2,23.95,1.2,0.6,0.1,0.9,38.9,4.8,4.4,0.11,26.7,0.323,0.233,0.31,0.13,157.8,66.3,0.182,0.086,109.82,,70,12.7
Colorado,CO,"Costilla County, Colorado",31.92307692,60.93406593,1.043956044,4.395604396,26.1,73.9,14.3,5.8,80.95,15475.58794,46.75,19.45,3403,88.4,26.8,43.7,31.95,0.3,64.15,1.05,0.4,2.1,45.6,4.2,1.8,0.12,56,0.443,0.19,0.205,0.078,109.2,,0.288,0.127,,,164.1,
Florida,FL,"Monroe County, Florida",51.57420936,44.6552293,0.937927134,2.660602347,10.2,89.8,28.7,9.9,70,28832.45461,14.55,10.15,73557,48.2,10.55,11.05,72.45,5.3,19.55,1.15,0.25,1.3,45.7,3.2,3.5,0.08,27.6,0.311,0.221,0.189,0.072,184.1,1005.4,0.275,0.05,508.19,4.63,109.5,4.6
Georgia,GA,"Atkinson County, Georgia",71.92780338,26.7281106,,1.344086022,33.3,66.7,8,3.3,68.85,21864.18794,40.3,22.8,8249,46,28.65,43.3,57.5,17.2,24.25,0.1,0.2,0.75,33.4,6.3,,0.07,91.6,0.354,,0.308,0.11,404.1,256.5,0.34,0.134,424.28,,69.6,
Kentucky,KY,"Letcher County, Kentucky",79.8445369,16.88197942,0.405079921,2.299102255,29,71,11.7,5.8,72.05,25146.57873,32.35,22.55,24217,26.8,27.35,34.25,98.1,0.4,0.55,0.15,0.15,0.7,40.4,6.3,5.3,0.1,62.3,0.225,0.284,0.358,0.172,77.7,67.2,0.177,0.134,51.24,5.83,117.8,
Minnesota,MN,"Morrison County, Minnesota",73.71392723,20.74255732,0.832667959,2.520816699,13.4,86.6,14.5,4.5,72.3,26177.72095,18,17.55,32957,32.8,13,15.5,97.15,0.2,1.05,0.35,0.25,1,40.1,3.7,3.9,0.07,26.9,0.248,0.209,0.278,0.083,129.4,21.2,0.118,0.072,79.21,,67.7,7.2
Georgia,GA,"Bibb County, Georgia",38.72820478,58.94868586,,2.323109366,18.8,81.2,23.1,8,78.25,24957.74222,35.8,12.9,155290,52.9,22.1,32.4,43.95,50.7,2.3,1.5,0.2,1.4,35.5,3.1,3.6,0.14,62.8,0.521,0.167,0.303,0.121,1052.8,718.2,0.197,0.098,566.33,15.43,75.7,13.9
Iowa,IA,"Harrison County, Iowa",66.30523177,28.7747357,0.677690431,2.832746002,9.6,90.4,15.5,3,78.1,28828.41175,17.8,12.5,15169,61.7,10.7,14.2,97.35,0.15,1.25,0.3,0.2,0.8,42,3.5,2.2,0.07,23,0.2,0.223,0.316,0.091,188.8,,0.098,0.046,90.94,,69,
Oklahoma,OK,"Bryan County, Oklahoma",75.85480944,20.27586207,,3.869328494,15.9,84.1,20.3,7.5,77.85,23668.27048,32.45,13.75,40941,32.5,20.65,32.05,75.2,1.55,4.55,0.6,8.6,9.55,36.7,4.4,4.4,0.08,65.9,0.342,0.259,0.333,0.118,313.3,79.2,0.252,0.047,432.36,5.67,94.3,5.6
Arkansas,AR,"Clark County, Arkansas",51.71075838,42.39858907,0.799529688,2.304526749,16.9,83.1,21.7,8.5,81.55,13886.0673,33.1,13.15,23298,60.5,25.1,27.95,70.7,22.65,4.05,0.7,0.4,1.55,33.1,4,2.6,0.08,27.6,0.381,0.119,0.326,0.115,826.8,146,0.211,0.093,378.98,6.21,71,
California,CA,"Santa Barbara County, California",32.72359704,60.96551052,2.067907249,3.853882502,19.9,80.1,31,12.4,78.15,25454.67461,18.7,6.25,412960,49.4,14.05,16.7,50.2,1.75,40.85,4.4,0.45,2.4,33.6,3.7,3.3,0.06,35.2,0.302,0.105,0.192,0.066,418.4,141.6,0.222,0.08,429.06,2.35,47.1,4.8
Georgia,GA,"Habersham County, Georgia",81.74603175,15.39558532,,2.858382937,25,75,18.7,7,80.1,22312.07873,37.65,13.4,42415,48.2,18.65,29.25,80.75,3.9,11.8,2.1,0.15,1.3,36.2,3.3,3.2,0.08,59.7,0.262,0.252,0.276,0.107,191.8,67.9,0.257,0.089,200.47,,70.6,
Illinois,IL,"Winnebago County, Illinois",47.70718501,46.53312925,1.443902784,4.315782955,15.6,84.4,21.1,7.3,76.7,27863.66699,28.65,7.45,295534,48,15.35,23.85,73.85,11.6,10.4,2.15,0.2,1.75,37.9,3.8,3.5,0.09,48.8,0.412,0.214,0.291,0.106,536.4,143.7,0.148,0.114,891.85,6.71,62.7,8.4
New York,NY,"Sullivan County, New York",55.17371459,41.43121204,1.441020031,1.95405334,16.1,83.9,20.3,8.8,75.6,28640.83461,22,7.9,76735,51.1,15.65,21.1,75.6,8.1,12.65,1.4,0.2,2,41.2,4.4,3.4,0.09,31,0.341,0.258,0.293,0.108,408.3,618.6,0.143,0.096,260.1,1.85,65.4,6.3
Ohio,OH,"Brown County, Ohio",74.49187523,22.31046554,0.532943205,2.189247087,20,80,9.8,3.6,75.9,27619.37111,23.5,7.95,44334,27,12.9,19.6,97.15,1,0.6,0.1,0.2,1.05,39.1,3.3,3.2,0.08,39.5,0.26,0.363,0.364,0.128,239.4,48,0.149,0.088,36.05,,86.5,5.9
Tennessee,TN,"Haywood County, Tennessee",44.10902696,54.27901524,0.278429074,0.879249707,25.2,74.8,12.9,4.3,70.75,21147.46191,40.45,25.55,18971,45.2,26.5,37.95,45,49.6,4.1,0.35,0.05,0.85,38,4.4,3,0.13,68.7,0.391,0.173,0.387,0.145,866.3,573.5,0.166,0.112,1175.56,,63.1,17.5
West Virginia,WV,"Pocahontas County, West Virginia",68.36142581,25.53191489,1.575020724,4.117159436,21,79,13.5,3.2,69.95,22836.68318,20.6,15.5,8659,15.7,15.6,20.45,97.45,0.75,0.75,0.25,0.1,0.8,45.8,4.9,3.9,0.1,39.6,0.275,0.319,0.306,0.138,,,0.216,0.108,187.83,,106.7,
Montana,MT,"Chouteau County, Montana",64.93607129,28.24486633,1.394808214,5.036807439,9.8,90.2,22.5,4.8,77.65,22049.71746,39.55,7.7,5518,53.6,19.5,31.45,78.65,0.15,1.2,0.3,18.45,1.35,41.5,2.5,2.6,,8.7,0.281,0.153,0.291,0.098,103.6,,0.274,0.04,148.6,,97.1,
Georgia,GA,"Warren County, Georgia",42.49571184,56.30360206,,1.200686106,30.4,69.6,4.7,1.5,73.95,23740.86762,45.5,18.25,5860,63.4,22.5,35.55,39,59.65,0.6,0.3,0.15,0.35,43.3,10,2.9,0.13,66.9,0.496,,0.372,0.153,576.8,159.5,0.213,0.158,531.91,,80.8,
Arizona,AZ,"Pima County, Arizona",40.75235197,54.23215305,1.393993824,3.621501156,13.2,86.8,29.6,12,75.45,26137.89461,25.85,8.45,985238,34.2,16.05,22.3,56.25,3.15,33.7,2.45,2.45,2.05,37.3,3.7,3.5,0.07,44.3,0.378,0.156,0.241,0.079,412.1,241.4,0.177,0.073,434.21,8.55,75.6,7.5
California,CA,"Lake County, California",44.09352242,47.83441932,3.503257953,4.08585665,13.7,86.3,16.4,4.7,75.35,24765.90254,27.8,6.6,64710,43.4,18.95,28.8,75,2.05,16.25,1.2,2.1,3.3,44.1,4.9,4.5,0.06,44.5,0.352,0.245,0.267,0.1,286.1,144.3,0.203,0.15,460.42,5.79,122.1,5.5
Georgia,GA,"Franklin County, Georgia",83.24286051,14.66839745,,2.088742034,25.7,74.3,13.6,4.5,72.9,24196.36349,19.7,14.65,21892,38.8,17.45,21.4,86.7,8.45,2.9,0.45,0.15,1.25,39.4,,,0.1,66.8,0.327,0.195,0.265,0.115,311,103.2,0.227,0.106,123.37,,105.7,
Iowa,IA,"Wright County, Iowa",63.70818625,31.77004539,0.588334174,2.941670869,11.3,88.7,15.7,4.5,73.25,25833.55651,12.55,9.3,13134,51.8,12.25,15.05,89.35,0.15,9.1,0.15,0.2,1,44,3.5,3,0.07,45.8,0.239,0.167,0.293,0.088,130.1,,0.124,0.056,117.17,,79.2,
Texas,TX,"Refugio County, Texas",62.13921902,35.11035654,0.339558574,2.410865874,27.3,72.7,11.2,3.9,71.65,18723.35842,23.55,14.4,7373,9.1,15.25,22,45.5,6.25,46.65,0.25,0.35,0.9,43.2,,,0.08,64.7,0.328,,0.299,0.117,342.9,,0.225,0.046,188.95,,64.5,
Nebraska,NE,"Clay County, Nebraska",79.81836529,15.80894719,0.504540868,3.868146653,10.3,89.7,16.4,5.3,76.95,23969.52,18.9,6.4,6438,60.1,9.75,10.55,92.35,0.15,6.25,0.15,0.6,0.45,43.1,3.3,2.9,,29.8,0.27,0.138,0.347,0.107,92.5,,0.142,0.037,,,73.2,
New York,NY,"Otsego County, New York",53.35302293,40.32748436,2.07609451,4.243398193,11.7,88.3,25.5,11,79.8,21338.21175,17.4,7.85,62172,52.8,15.05,17.45,93.05,1.7,2.7,1.05,0.15,1.35,39.8,4.4,4,0.07,10.8,0.33,0.176,0.274,0.099,272.9,109.6,0.111,0.08,206.67,,44.7,6
Minnesota,MN,"Dakota County, Minnesota",43.5688077,48.21633961,1.165053639,4.315159255,5.6,94.4,38.1,11.2,79.55,39253.45588,6.65,5.15,393993,45.1,5.35,6.2,83.8,4.3,5.2,4.3,0.35,2.1,36.1,2.7,2.5,0.06,17.8,0.237,0.15,0.254,0.064,258.5,85.1,0.086,0.053,110.62,1.32,41,4.7
Oregon,OR,"Sherman County, Oregon",73.85554425,20.54933876,1.119023398,4.476093591,10,90,15.4,5.6,67.45,24725.24508,50.65,8.35,1772,32.9,20.5,35.45,91.4,0.05,6.55,0.1,0.7,1.2,45.3,,,,,0.374,,0.259,0.102,291,,0.18,0.084,0,,,
North Dakota,ND,"Golden Valley County, North Dakota",84.18259023,10.50955414,0.42462845,4.246284501,8.3,91.7,19.5,3.7,83.85,21266.86635,24.9,11.9,1606,0,13.4,17.9,96.85,0.25,1.25,0.05,0.8,0.75,45.2,2,1.3,,,0.304,0.187,0.306,0.086,285.4,,0.148,0.029,118.06,,,
Arkansas,AR,"Hot Spring County, Arkansas",68.46082795,26.34142245,0.940465194,1.990091527,18.7,81.3,12.5,3.7,74.55,22191.26667,12.25,9.55,32272,34.3,13.25,14.5,84.4,10.55,2.5,0.25,0.35,1.95,39.6,5.7,5.8,0.08,64.3,0.323,0.278,0.334,0.115,520.1,81.9,0.194,0.065,,5.31,94.9,
Florida,FL,"Taylor County, Florida",74.6093329,23.15982326,0.355641772,1.616553508,21.3,78.7,12,4.8,71.1,21981.67842,34,14.7,21646,76,21,32.6,73.4,20.8,2.85,0.6,0.65,1.7,40,5.6,4.8,0.1,71.4,0.486,0.291,0.359,0.13,308.5,498.3,0.202,0.093,806.5,9.3,84.5,
Missouri,MO,"Platte County, Missouri",53.54730816,40.5544478,0.844750327,4.618254326,5.9,94.1,36.9,12.2,78.25,36441.22921,13.1,5.75,88391,43.4,6.9,10.1,85.7,5.05,4.6,2.1,0.35,2.25,38.2,3.5,3.4,0.07,23,0.266,0.163,0.292,0.091,258.5,131.8,0.104,0.056,446.97,3.18,56.9,5.3
Texas,TX,"Grimes County, Texas",74.14987406,23.02686818,0.524769102,2.298488665,22.8,77.2,11.3,3.6,70.6,25480.06508,25.5,15.7,26112,26.3,15.5,23.25,61.45,16.8,19.9,0.3,0.2,1.25,38.7,,,0.08,57.7,0.401,,0.346,0.106,494.7,162.9,0.281,0.065,316.42,,80.9,
South Dakota,SD,"Hanson County, South Dakota",74.62612164,21.13659023,,2.941176471,16,84,18.9,3.6,69.95,24691.08,13.45,12.5,3458,18.4,13.05,12.6,98.85,0,0.35,0.25,0.35,0.25,36.5,2.4,3.5,0.09,,0.079,0.177,0.296,0.077,,,0.139,0.047,9.64,,,
Nebraska,NE,"Logan County, Nebraska",88.69179601,7.095343681,0.22172949,3.99113082,3,97,18.8,1.2,60.05,27658.57143,0,10,741,13.3,5.25,0.7,95.65,0.05,1.2,0.05,2.35,0.7,45.1,2.5,2.1,,,0.102,,0.288,0.082,,,0.177,0.021,,,,
Minnesota,MN,"Lincoln County, Minnesota",64.29047302,28.64756829,0.599600266,3.730846103,10.2,89.8,17.8,4.1,81.4,25243.89683,8.95,12.95,5864,46.6,9.25,10.1,97.7,0.05,1.25,0.1,0.3,0.55,45.7,2,,0.06,16.2,0.162,0.208,0.275,0.085,85.9,,0.114,0.044,62.4,,,
North Carolina,NC,"Yancey County, North Carolina",64.91639478,32.43270799,,2.650897227,22.1,77.9,15.2,5.1,75.8,22082.20286,16.75,17.35,18077,45.8,18.05,24.1,93.2,0.5,4.9,0.45,0.35,0.65,44.2,5.5,4.1,0.08,40.2,0.178,0.214,0.287,0.109,152.5,62.6,0.228,0.111,110.14,,92.7,
Texas,TX,"Wise County, Texas",83.75572767,13.83561088,0.36900369,2.039657759,18.5,81.5,15.6,4.5,74.35,29335.41778,17.1,4.9,58371,42.6,9.3,14,80.65,1.15,15.85,0.4,0.7,1.3,37.5,3.1,3.4,0.07,48.6,0.187,0.161,0.294,0.088,222.3,56.5,0.237,0.063,199.24,2.75,74.8,7
Florida,FL,"Hernando County, Florida",62.87841667,33.89292486,0.756300731,2.183685208,14.4,85.6,16.2,5,77.05,25999.46889,18.4,6.65,169558,45.1,11.45,17.1,83.05,4.75,9.4,1.1,0.25,1.45,47,4.8,5.9,0.08,35.3,0.362,0.226,0.287,0.12,225.3,130.5,0.222,0.109,347.65,2.68,99.9,7.4
Georgia,GA,"Greene County, Georgia",62.14471747,36.16804439,,1.687238138,24.7,75.3,18.9,6.5,74.8,21611.68349,43.2,16.2,15811,66.3,22.5,36.75,55.65,38.3,4.65,0.15,0.4,0.8,44.8,5.8,3.5,0.11,53.8,0.432,0.126,0.319,0.147,449.1,161,0.229,0.096,306.88,,68.2,
Texas,TX,"Bell County, Texas",55.0856924,40.00893627,0.862775136,4.042596198,11.4,88.6,21.2,7,66,27515.31937,24.85,7.85,292914,40.1,14.15,21.05,52.15,20.2,20.6,2.65,0.55,3.85,29.5,4.3,3.8,0.09,66,0.365,0.194,0.291,0.096,1253.5,166.8,0.202,0.073,404.2,6.27,51.5,7.8
Texas,TX,"Collingsworth County, Texas",85.18197574,12.56499133,0.346620451,1.906412478,25.8,74.2,18.3,3.9,74.55,21721.57524,26.15,21.7,3025,4.9,19.1,24.5,59.55,5.15,32.35,0.1,0.95,1.9,36.3,,,0.08,85.9,0.349,,0.301,0.111,258.7,,0.363,0.047,10.94,,,
Virginia,VA,"Galax city, Virginia",67.83749471,28.77697842,0.296233601,1.904358866,26.5,73.5,12.7,4.1,71.8,23763.75238,35.9,21.7,6924,22,31.75,44.85,81.65,6.1,10.9,0.25,0.35,0.7,45.9,,,0.07,88.9,0.63,,0.299,0.108,229.1,133.8,0.209,0.087,414.36,,66.4,
Illinois,IL,"DuPage County, Illinois",39.80224203,53.88311308,1.494930121,4.819714769,8,92,45.3,17.3,82.8,38948.04667,8.6,4.75,921227,58.7,5.5,6.9,71.65,4.35,12.6,9.85,0.1,1.55,37.4,2.8,3.1,0.07,15,0.194,0.122,0.248,0.076,173.4,80.2,0.107,0.073,100.07,1.49,30.8,6.4
Nebraska,NE,"Holt County, Nebraska",85.86061458,10.48403294,0.542277566,3.113074915,11.8,88.2,16.1,4.6,73.7,23035.34921,9.15,11.35,10346,25.9,9.05,10.3,96.6,0.2,2.3,0.2,0.35,0.4,45.4,2.2,2.5,0.06,18.5,0.157,0.131,0.303,0.095,,,0.149,0.029,,,99.2,
Pennsylvania,PA,"Lebanon County, Pennsylvania",65.87444403,30.31949207,0.689233694,2.643194242,15.6,84.4,18.3,6.1,74,29221.50921,16.4,7.25,130725,38.7,8.5,12.35,88.25,1.55,8.15,1,0.1,0.95,40.6,3.2,3.1,0.08,33.5,0.282,0.184,0.32,0.112,264.3,100.7,0.111,0.064,176.27,2.53,51.8,6.9
Utah,UT,"Summit County, Utah",35.56350271,50.9164059,0.804649084,3.655689664,6.3,93.7,50.8,19.1,76.25,36834.50953,10.7,4.95,35984,49.2,7,7.3,85.3,0.35,11.6,1.65,0.1,0.95,36,2.4,2.2,0.09,23.1,0.174,0.075,0.153,0.04,143.6,77.2,0.148,0.053,93.63,,56.2,
Alabama,AL,"Conecuh County, Alabama",52.16261654,46.90508941,0.152835091,0.779458964,28.7,71.3,9.7,4.3,73.5,22600.38349,50.25,19.95,13171,32.5,29.8,45.95,52.7,45.3,0.7,0.05,0.45,0.75,43.4,4.4,5.2,0.12,54.8,0.479,0.229,0.363,0.177,663.9,280.5,0.19,0.116,603.53,10.66,116.5,
Illinois,IL,"Putnam County, Illinois",57.28218466,37.15864759,1.137841352,4.421326398,11.3,88.7,15,5.1,77.7,29238.79429,22.15,6.15,5991,45.6,10.8,21.35,94,0.65,4.2,0.3,0.05,0.75,44.6,,,0.07,17.3,0.236,,0.288,0.101,251.3,,0.116,0.101,74.81,,70.2,
New Mexico,NM,"Hidalgo County, New Mexico",48.63123994,41.86795491,0.268384326,7.353730542,22.3,77.7,15.6,6.7,72.35,18820.77365,34.7,17.7,4947,49.5,21.7,30.65,41.8,0.5,55.95,0.25,0.3,1.25,37.4,,,0.08,67.5,0.494,,0.264,0.083,555.4,,0.239,0.063,156.67,,88.5,
Louisiana,LA,"Assumption Parish, Louisiana",61.57373441,36.05099046,0.357666911,1.164710198,30.8,69.2,8.5,2.5,71.45,28520.23111,32.7,15.95,23203,47.5,18.8,26.9,65.6,30.85,2.05,0.1,0.35,1,38.4,4.6,3.8,0.12,43.3,0.399,0.2,0.334,0.118,535.6,92.9,0.188,0.084,458.4,6.1,73.2,12.9
Minnesota,MN,"Benton County, Minnesota",64.64768219,28.32605093,1.230475616,3.430264678,9.8,90.2,19.6,5.9,75.2,28468.53905,17.35,11.15,38955,36.2,12,15.05,93.8,1.55,1.5,1.1,0.45,1.6,33.7,3.3,2.5,0.07,30.6,0.282,0.146,0.291,0.09,160.3,28.5,0.099,0.061,146.85,,46.7,6.7
Georgia,GA,"Twiggs County, Georgia",50.18504811,48.60597089,,1.208981002,38.6,61.4,6.7,1.2,67.05,27578.72254,30.85,19.85,9641,33.1,19.75,27.25,56.3,41.4,1.2,0.1,0.15,0.85,41.2,4.6,,0.13,49.4,0.412,,0.32,0.149,603.7,125.8,0.209,0.125,127.48,,97.9,
Idaho,ID,"Bonner County, Idaho",60.77906631,30.56794529,2.06363366,3.722866488,9,91,22.5,7.6,71.85,24025.47683,23.6,6.85,40877,46.5,13.85,21.05,94.45,0.2,2.25,0.55,0.75,1.75,44.8,3.9,3.6,0.06,34.3,0.289,0.185,0.237,0.091,247.5,47.6,0.202,0.099,112.37,,77.6,8.4
Idaho,ID,"Custer County, Idaho",73.64276834,17.69581434,1.243265644,2.776626606,7.1,92.9,24.5,4.7,62.35,24465.97365,20.35,14.6,4248,36.5,12.85,17.05,94.9,0.05,2.95,0.1,0.6,1.35,41,2.9,3.2,,24.2,0.155,0.135,0.269,0.098,,,0.179,0.071,92.55,,102.9,
